date,year,country,continent,monthly_hashrate_%,monthly_absolute_hashrate_EH/S
2020-05-01,2020,Kazakhstan,Asia,5.2,5.5
2020-05-01,2020,"Iran, Islamic Rep.",Asia,3.85,4.07
2020-05-01,2020,Canada,Americas,1.02,1.08
2020-05-01,2020,Germany *,,0.94,1.0
2020-05-01,2020,Ireland *,,0.0,0.0
2020-06-01,2020,Mainland China,Asia,64.67,72.19
2020-06-01,2020,Russian Federation,Asia,8.25,9.21
2020-06-01,2020,United States,Americas,6.7,7.47
2020-06-01,2020,Other,Other,5.76,6.43
2020-06-01,2020,Malaysia,Asia,5.46,6.1
2020-06-01,2020,Kazakhstan,Asia,4.86,5.43
2020-06-01,2020,"Iran, Islamic Rep.",Asia,3.0,3.35
2020-06-01,2020,Germany *,,0.64,0.72
2020-06-01,2020,Canada,Americas,0.62,0.7
2020-06-01,2020,Ireland *,,0.02,0.02
2020-07-01,2020,Mainland China,Asia,66.86,81.71
2020-07-01,2020,Russian Federation,Asia,8.08,9.87
2020-07-01,2020,Malaysia,Asia,5.62,6.87
2020-07-01,2020,Other,Other,5.45,6.67
2020-07-01,2020,United States,Americas,5.09,6.22
2020-07-01,2020,Kazakhstan,Asia,4.58,5.6
2020-07-01,2020,"Iran, Islamic Rep.",Asia,2.81,3.44
2020-07-01,2020,Canada,Americas,1.15,1.4
2020-07-01,2020,Germany *,,0.35,0.43
2020-07-01,2020,Ireland *,,0.01,0.01
2020-08-01,2020,Mainland China,Asia,66.86,82.71
2020-08-01,2020,Russian Federation,Asia,8.17,10.1
2020-08-01,2020,Malaysia,Asia,6.23,7.7
2020-08-01,2020,Other,Other,5.01,6.2
2020-08-01,2020,Kazakhstan,Asia,4.57,5.65
2020-08-01,2020,United States,Americas,4.2,5.2
2020-08-01,2020,"Iran, Islamic Rep.",Asia,2.67,3.3
2020-08-01,2020,Canada,Americas,1.87,2.32
2020-08-01,2020,Germany *,,0.39,0.48
2020-08-01,2020,Ireland *,,0.03,0.04
2020-09-01,2020,Mainland China,Asia,67.12,91.1
2020-09-01,2020,United States,Americas,7.08,9.61
2020-09-01,2020,Russian Federation,Asia,5.74,7.79
2020-09-01,2020,Other,Other,4.95,6.72
2020-09-01,2020,Malaysia,Asia,4.48,6.08
2020-09-01,2020,Kazakhstan,Asia,4.09,5.55
2020-09-01,2020,"Iran, Islamic Rep.",Asia,2.47,3.35
2020-09-01,2020,Canada,Americas,1.84,2.49
2020-09-01,2020,Ireland *,,1.41,1.91
2020-09-01,2020,Germany *,,0.82,1.12
2020-10-01,2020,Mainland China,Asia,67.38,88.92
2020-10-01,2020,United States,Americas,6.71,8.86
2020-10-01,2020,Other,Other,5.27,6.96
2020-10-01,2020,Russian Federation,Asia,4.9,6.47
2020-10-01,2020,Malaysia,Asia,4.12,5.44
2020-10-01,2020,Kazakhstan,Asia,3.59,4.74
2020-10-01,2020,"Iran, Islamic Rep.",Asia,2.82,3.73
2020-10-01,2020,Ireland *,,2.51,3.31
2020-10-01,2020,Canada,Americas,1.51,2.0
2020-10-01,2020,Germany *,,1.18,1.56
2020-11-01,2020,Mainland China,Asia,55.58,71.7
2020-11-01,2020,United States,Americas,9.38,12.1
2020-11-01,2020,Other,Other,7.36,9.49
2020-11-01,2020,Russian Federation,Asia,6.77,8.73
2020-11-01,2020,Malaysia,Asia,5.27,6.8
2020-11-01,2020,Kazakhstan,Asia,4.77,6.15
2020-11-01,2020,"Iran, Islamic Rep.",Asia,4.0,5.16
2020-11-01,2020,Ireland *,,3.07,3.96
2020-11-01,2020,Germany *,,2.16,2.79
2020-11-01,2020,Canada,Americas,1.65,2.12
2020-12-01,2020,Mainland China,Asia,53.27,72.72
2020-12-01,2020,United States,Americas,10.41,14.21
2020-12-01,2020,Russian Federation,Asia,7.16,9.78
2020-12-01,2020,Other,Other,6.95,9.48
2020-12-01,2020,Kazakhstan,Asia,5.35,7.3
2020-12-01,2020,Malaysia,Asia,5.29,7.21
2020-12-01,2020,"Iran, Islamic Rep.",Asia,4.78,6.52
2020-12-01,2020,Ireland *,,3.09,4.21
2020-12-01,2020,Germany *,,2.89,3.94
2020-12-01,2020,Canada,Americas,0.83,1.13
2021-01-01,2021,Mainland China,Asia,53.3,79.53
2021-01-01,2021,United States,Americas,10.55,15.74
2021-01-01,2021,Other,Other,7.17,10.7
2021-01-01,2021,Russian Federation,Asia,6.91,10.3
2021-01-01,2021,Kazakhstan,Asia,6.17,9.2
2021-01-01,2021,Malaysia,Asia,5.18,7.73
2021-01-01,2021,"Iran, Islamic Rep.",Asia,4.15,6.19
2021-01-01,2021,Germany *,,3.09,4.61
2021-01-01,2021,Ireland *,,2.59,3.86
2021-01-01,2021,Canada,Americas,0.9,1.34
2021-02-01,2021,Mainland China,Asia,51.58,80.01
2021-02-01,2021,United States,Americas,13.37,20.74
2021-02-01,2021,Other,Other,7.2,11.17
2021-02-01,2021,Kazakhstan,Asia,6.71,10.41
2021-02-01,2021,Russian Federation,Asia,6.43,9.97
2021-02-01,2021,Malaysia,Asia,4.66,7.22
2021-02-01,2021,"Iran, Islamic Rep.",Asia,4.15,6.44
2021-02-01,2021,Germany *,,2.75,4.27
2021-02-01,2021,Ireland *,,2.08,3.23
2021-02-01,2021,Canada,Americas,1.07,1.66
2021-03-01,2021,Mainland China,Asia,49.06,78.29
2021-03-01,2021,United States,Americas,16.12,25.73
2021-03-01,2021,Kazakhstan,Asia,7.65,12.21
2021-03-01,2021,Russian Federation,Asia,6.47,10.33
2021-03-01,2021,Other,Other,6.02,9.61
2021-03-01,2021,"Iran, Islamic Rep.",Asia,4.67,7.45
2021-03-01,2021,Malaysia,Asia,3.66,5.85
2021-03-01,2021,Germany *,,2.69,4.29
2021-03-01,2021,Ireland *,,2.07,3.31
2021-03-01,2021,Canada,Americas,1.58,2.53
2021-04-01,2021,Mainland China,Asia,46.04,72.39
2021-04-01,2021,United States,Americas,16.85,26.49
2021-04-01,2021,Kazakhstan,Asia,8.19,12.88
2021-04-01,2021,Russian Federation,Asia,6.84,10.75
2021-04-01,2021,Other,Other,5.92,9.31
2021-04-01,2021,"Iran, Islamic Rep.",Asia,4.64,7.3
2021-04-01,2021,Malaysia,Asia,3.44,5.41
2021-04-01,2021,Canada,Americas,3.0,4.73
2021-04-01,2021,Germany *,,2.81,4.42
2021-04-01,2021,Ireland *,,2.27,3.57
2021-05-01,2021,Mainland China,Asia,43.98,70.91
2021-05-01,2021,United States,Americas,17.77,28.66
2021-05-01,2021,Kazakhstan,Asia,7.37,11.88
2021-05-01,2021,Russian Federation,Asia,7.19,11.59
2021-05-01,2021,Other,Other,6.36,10.25
2021-05-01,2021,Canada,Americas,4.74,7.64
2021-05-01,2021,"Iran, Islamic Rep.",Asia,4.3,6.94
2021-05-01,2021,Malaysia,Asia,3.24,5.23
2021-05-01,2021,Germany *,,2.79,4.51
2021-05-01,2021,Ireland *,,2.25,3.62
2021-06-01,2021,Mainland China,Asia,34.25,41.12
2021-06-01,2021,United States,Americas,21.81,26.18
2021-06-01,2021,Russian Federation,Asia,8.9,10.68
2021-06-01,2021,Kazakhstan,Asia,8.8,10.57
2021-06-01,2021,Other,Other,6.91,8.29
2021-06-01,2021,Canada,Americas,5.98,7.18
2021-06-01,2021,Malaysia,Asia,3.79,4.55
2021-06-01,2021,"Iran, Islamic Rep.",Asia,3.43,4.11
2021-06-01,2021,Germany *,,3.28,3.94
2021-06-01,2021,Ireland *,,2.86,3.43
2021-07-01,2021,United States,Americas,35.12,35.24
2021-07-01,2021,Kazakhstan,Asia,13.79,13.83
2021-07-01,2021,Russian Federation,Asia,11.9,11.94
2021-07-01,2021,Canada,Americas,10.83,10.87
2021-07-01,2021,Other,Other,9.41,9.44
2021-07-01,2021,Malaysia,Asia,5.39,5.41
2021-07-01,2021,Ireland *,,5.06,5.08
2021-07-01,2021,Germany *,,4.7,4.71
2021-07-01,2021,"Iran, Islamic Rep.",Asia,3.81,3.82
2021-07-01,2021,Mainland China,Asia,0.0,0.0
2021-08-01,2021,United States,Americas,35.4,42.74
2021-08-01,2021,Kazakhstan,Asia,18.1,21.85
2021-08-01,2021,Russian Federation,Asia,11.23,13.56
2021-08-01,2021,Canada,Americas,9.55,11.54
2021-08-01,2021,Other,Other,8.86,10.69
2021-08-01,2021,Ireland *,,4.68,5.65
2021-08-01,2021,Malaysia,Asia,4.59,5.54
2021-08-01,2021,Germany *,,4.48,5.4
2021-08-01,2021,"Iran, Islamic Rep.",Asia,3.11,3.75
2021-08-01,2021,Mainland China,Asia,0.0,0.0
